Id,Prediction
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,1
317,1
318,0
319,1
320,1
321,0
322,1
323,1
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,0
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,0
445,1
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,0
466,0
467,1
468,1
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,1
477,0
478,0
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,1
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,0
535,0
536,1
537,0
538,1
539,0
540,1
541,1
542,0
543,1
544,0
545,1
546,0
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,1
565,0
566,1
567,0
568,0
569,1
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,1
578,1
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,0
595,1
596,1
597,1
598,1
599,1
600,0
601,0
